ADD	thêm
hip	hông
hire	thuê mướn
hire	thuê
his	của anh ấy
his	của anh ấy
his	mình
historian	nhà sử học
historic	mang tính lịch sử
historical	lịch sử
historical	lịch sử
history	lịch sử
hit	đánh
hit	đánh
hit	đánh
hold	giữ
hold	giữ
hold	giữ
hole	lỗ
holiday	ngày lễ
holiday	kỳ nghỉ
holy	thánh
home	nhà
home	nhà
home	nhà
honest	thật thà
honest	trung thực
honor	tôn vinh
honor	tôn vinh
honour	danh dự
hope	mong
hope	mong
horror	kinh dị
horse	con ngựa
hospital	bệnh viện
host	chủ nhà
hot	nóng bức
hot	nóng
hotel	khách sạn
hour	giờ
hour	giờ
house	nhà ở
house	nhà ở
house	nhà
house	nhà
household	hộ gia đình
housing	nhà ở
how	làm sao
however	Tuy nhiên
huge	khổng lồ
huge	lớn
human	Nhân loại
human	Nhân loại
human	con người
hundred	hàng trăm
hungry	đói
hunting	săn bắn
hurry	vội
hurt	đau
hurt	đau
husband	người chồng
ice	Nước đá
idea	ý kiến
ideal	lý tưởng
ideal	lý tưởng
identify	nhận định
identify	xác định
identity	danh tính
ie	nghĩa là
if	nếu
ignore	bỏ qua
ignore	bỏ qua
ill	bệnh
illegal	bất hợp pháp
illegal	bất hợp pháp
illness	bệnh
illustrate	Minh họa
illustrate	minh họa
image	hình ảnh
imagination	trí tưởng tượng
imagine	tưởng tượng
imagine	tưởng tượng
immediate	ngay lập tức
immediate	ngay lập tức
immediately	ngay
immigrant	di trú
immigration	nhập cư
impact	va chạm
implement	thực hiện
implement	bổ sung
implication	hàm ý
imply	ngụ ý
imply	nghĩa là
import	nhập khẩu
importance	tầm quan trọng
important	quan trọng
important	quan trọng
impose	áp đặt
impose	áp đặt
impossible	Không thể nào
impossible	không thể
impress	gây ấn tượng
impression	ấn tượng
impressive	ấn tượng
improve	cải tiến
improve	nâng cao
improvement	cải tiến
in	trong
in	trong
incentive	khuyến khích
incident	biến cố
incident	sự cố
include	bao gồm
include	bao gồm
including	kể cả
income	thu nhập
incorporate	kết hợp
incorporate	kết hợp
increase	tăng
increase	tăng
increase	tăng lên
increased	tăng
increasing	tăng
increasingly	ngày càng
incur	chịu
indeed	thật
independence	độc lập
independent	độc lập
independent	độc lập
index	mục lục
indicate	biểu thị
indicate	chỉ
individual	cá nhân
individual	cá nhân
individual	cá nhân
induce	xúi
industrial	công nghiệp
industry	ngành công nghiệp
inevitable	không thể tránh khỏi
infection	nhiễm trùng
influence	ảnh hưởng
influence	ảnh hưởng
influence	ảnh hưởng
inform	thông báo
inform	báo
informal	chính thức
information	thông tin
ingredient	thành phần
inherit	thừa kế
inhibit	cản trở
initial	ban đầu
initial	ban đầu
initially	ban đầu
initiate	bắt đầu
initiative	sáng kiến
injure	tổn thương
injury	chấn thương
inner	bên trong
inner	bên trong
innocent	vô tội
insert	chèn
inside	phía trong
inside	phía trong
inside	bên trong
insight	cái nhìn sâu sắc
insist	năn nỉ
insist	nhấn mạnh
inspect	thanh tra
inspire	truyền cảm hứng
inspire	cảm hứng
install	cài đặt, dựng lên
install	đặt
instead	thay thế
instead	thay thế
institution	tổ chức
instruct	dạy
instruction	chỉ dẫn
instrument	dụng cụ
insurance	bảo hiểm
integrate	tích hợp
intellectual	trí tuệ
intelligence	Sự thông minh
intelligent	thông minh
intend	dự định
intend	có ý định
intense	cường độ cao
intention	ý định
interaction	sự tương tác
interest	quan tâm
interested	quan tâm
interesting	hấp dẫn
interesting	thú vị
interfere	can thiệp vào
internal	bên trong
internal	nội bộ
international	quốc tế
international	quốc tế
interpret	thông dịch
interpret	giải thích
interpretation	diễn dịch
interrupt	làm gián đoạn
intervene	can thiệp vào
intervention	can thiệp
interview	phỏng vấn
interview	phỏng vấn
interview	phỏng vấn
into	vào
introduce	giới thiệu
introduce	giới thiệu
introduction	Giới thiệu
invent	phát minh
invest	đầu tư
invest	đầu tư
investigate	điều tra
investigate	nghiên cứu
investigation	cuộc điều tra
investigator	điều tra viên
investment	đầu tư
investor	nhà đầu tư
invite	mời gọi
invite	mời
involve	liên quan
involve	liên quan đến
involved	có tính liên quan
involvement	sự tham gia
iron	bàn là
island	Đảo
isolate	cô lập
issue	vấn đề
issue	vấn đề
issue	vấn đề
it	nó
item	mục
its	của nó
itself	chinh no
jacket	Áo khoác
jail	nhà giam
job	việc làm
join	tham gia
join	ghép
joint	chung
joint	doanh
joke	đùa
journal	tạp chí
journalist	nhà báo
journey	hành trình
joy	vui sướng
judge	thẩm phán
judge	thẩm phán
judge	thẩm phán
judgment	phán đoán
juice	Nước ép
jump	nhảy
jump	nhảy
junior	em
junior	cơ sở
jury	ban bồi thẩm
just	chỉ
just	chỉ
just	chỉ
justice	Sự công bằng
justify	biện hộ
justify	biện hộ
keep	giữ
keep	giữ
key	Chìa khóa
key	Chìa khóa
key	chính
kick	đá
kick	đá
kid	đứa trẻ
kill	giết chết
kill	giết
killer	sát thủ
kind	loại
kind	loại
kind	loại
king	nhà vua
kiss	hôn
kiss	hôn
kitchen	phòng bếp
kitchen	nhà bếp
knee	đầu gối
knife	dao
knit	đan
knock	đánh
knock	đập
know	biết
know	biết
knowledge	hiểu biết
known	được biết đến
lab	phòng thí nghiệm
label	nhãn
label	nhãn
labor	lao động
lack	thiếu sót
lack	thiếu sót
lack	tình trạng thiếu
lady	quý bà
lake	hồ
land	đất đai
land	đất đai
landscape	phong cảnh
language	ngôn ngữ
large	lớn
large	lớn
largely	phần lớn
last	Cuối cùng
last	Cuối cùng
last	cuối cùng
last	cuối cùng
late	muộn
late	muộn
late	cuối
later	một lát sau
later	một lát sau
latter	sau này
latter	thứ hai
laugh	cười
laugh	cười
launch	phóng
launch	phóng
law	pháp luật
lawsuit	kiện tụng
lawyer	luật sư
lay	đặt nằm
lay	nằm xuống
layer	lớp
lead	chì
lead	chì
lead	chì
leader	lãnh đạo
leadership	khả năng lãnh đạo
leading	dẫn đầu
leading	hàng đầu
leaf	lá
league	liên đoàn
lean	nạc
lean	gầy
leap	nhảy
learn	học hỏi
learn	học hỏi
learning	học tập
least	ít nhất
least	ít nhất
leather	da
leave	rời khỏi
leave	rời khỏi
left	trái
left	còn lại
leg	Chân
legal	hợp pháp
legal	pháp lý
legislation	pháp luật
lend	cho vay
length	chiều dài
less	ít hơn
less	ít hơn
less	ít
lesson	bài học
let	để cho
letter	lá thư
level	cấp độ
level	mức
liberal	tự do
library	thư viện
license	giấy phép
lie	nói dối
lie	nói dối
life	đời sống
life	cuộc sống
lifetime	cả đời
lift	thang máy
lift	thang máy
light	ánh sáng
light	ánh sáng
light	ánh sáng
like	như
like	như
like	như
like	như
like	như
like	như
likely	có khả năng
likely	có khả năng
limit	giới hạn
limit	giới hạn
limit	giới hạn
limited	giới hạn
line	hàng
line	hàng
line	hàng
link	liên kết
link	liên kết
link	liên kết
lip	môi
list	danh sách
list	danh sách
list	danh sách
listen	nghe
listen	nghe
literally	nghĩa đen
literary	văn chương
literature	văn chương
little	ít
little	ít
little	ít
little	ít
live	trực tiếp
live	trực tiếp
live	sống
live	sống
living	sống
living	sống
living	sống
load	tải trọng
load	tải
loan	tiền vay
local	địa phương
local	địa phương
locate	định vị
locate	định vị trí
location	vị trí
lock	Khóa
lock	khóa
logical	hợp lý
lonely	cô đơn
long	Dài
long	Dài
long	Dài
long	dài
long	dài
long-term	dài hạn
look	nhìn
look	nhìn
look	nhìn
loose	lỏng lẻo
loose	lỏng lẻo
lose	thua
lose	mất
loss	mất mát
lost	mất đi
lost	bị mất
lot	nhiều
lots	rất nhiều
loud	lớn
love	yêu
love	yêu
love	yêu
lover	người yêu
low	thấp
low	thấp
lower	thấp hơn
lower	thấp hơn
lower	thấp hơn
luck	may mắn
lucky	may mắn
lucky	may mắn
lunch	Bữa trưa
machine	máy móc
mad	điên
mad	điên
magazine	tạp chí
mail	thư
main	chủ yếu
main	chính
mainly	chủ yếu
maintain	duy trì
maintain	duy trì
major	chính
major	chính
majority	đa số
make	chế tạo
make	làm
maker	nhà sản xuất
male	Nam giới
male	Nam giới
male	nam
man	Đàn ông
manage	quản lý
manage	quản lý
management	sự quản lý
manager	giám đốc
manipulate	vận dụng
manner	cách thức
manufacture	chế tạo
manufacturer	nhà chế tạo
many	nhiều
many	nhiều
map	bản đồ
mark	dấu
mark	dấu
market	thị trường
market	thị trường
market	thị trường
marketing	tiếp thị
marriage	kết hôn
married	cưới nhau
marry	kết hôn
marry	kết hôn
mask	mặt nạ
mass	khối lượng
mass	khối lượng
massive	to lớn
massive	lớn
master	bậc thầy
master	chủ
match	trận đấu
match	trận đấu
match	trận đấu
material	vật chất
material	tài liệu
matter	vấn đề
matter	vấn đề
matter	chất
maximum	tối đa
may	Tháng Năm
maybe	có lẽ
mayor	thị trưởng
me	tôi
meal	bữa ăn
mean	nghĩa là
mean	nghĩa là
mean	có nghĩa là
mean	nghĩa là
meaning	Ý nghĩa
means (PL)	nghĩa là (PL)
meanwhile	trong khi đó
measure	đo
measure	đo
measure	đo
meat	thịt
mechanism	cơ chế
media	phương tiện truyền thông
medical	Y khoa
medical	y tế
medicine	dược phẩm
medium	trung
meet	gặp
meet	gặp
meeting	gặp gỡ
melt	làm tan
member	hội viên
memory	ký ức
mental	tâm thần
mental	tinh thần
mention	đề cập đến
mention	đề cập đến
merely	đơn thuần
merge	hợp nhất
message	thông điệp
metal	kim loại
method	phương pháp
middle	ở giữa
middle	ở giữa
middle	trung
might	có thể
military	quân đội
milk	Sữa
million	triệu
mind	lí trí
mind	lí trí
mind	nhớ
mine	tôi
mine	tôi
minimum	tối thiểu
minister	bộ trưởng, mục sư
minor	diễn viên phụ
minor	trẻ vị thành niên
minority	thiểu số
minute	phút
minute	phút
mirror	gương
miss	bỏ lỡ
missile	tên lửa
mission	sứ mệnh
mission	Nhiệm vụ
mistake	sai lầm
mix	pha trộn
mix	pha trộn
mix	pha
mixture	hỗn hợp
mobile	điện thoại di động
mode	chế độ
model	mô hình
modern	hiện đại
modify	sửa đổi
mom	mẹ
moment	chốc lát
money	tiền bạc
monitor	giám sát
month	tháng
mood	khí sắc
mood	tâm trạng
moon	mặt trăng
moral	đạo đức
more	hơn
more	hơn
more	hơn
moreover	hơn thế nữa
morning	buổi sáng
most	phần lớn
most	phần lớn
most	nhất
mostly	chủ yếu
mother	mẹ
mother	mẹ
motion	chuyển động
motivate	động viên
motor	động cơ
mount	núi
mountain	núi
mountain	núi
mouth	miệng
move	di chuyển
move	di chuyển
move	hành động
movement	phong trào
movie	bộ phim
much	nhiều
much	nhiều
much	nhiều
multiple	nhiều
multiply	nhân
murder	giết người
murder	tội giết người
murmur	tiếng thì thầm
muscle	cơ bắp
museum	viện bảo tàng
music	Âm nhạc
musical	âm nhạc
must	phải
mutter	lầm bầm
mutual	lẫn nhau
my	tôi
myself	riêng tôi
mystery	huyền bí
n't	không
name	Tên
name	Tên
name	tên
narrow	hẹp
narrow	hẹp
narrow	hẹp
nasty	khó chịu
nation	quốc gia
national	Quốc gia
national	quốc gia
native	tự nhiên
native	bản địa
natural	tự nhiên
natural	tự nhiên
naturally	một cách tự nhiên
nature	thiên nhiên
near	ở gần
nearby	gần đó
nearby	lân cận
nearly	Gần
neat	gọn gàng
necessarily	nhất thiết
necessary	cần thiết
necessary	cần thiết
neck	cái cổ
need	nhu cầu
need	nhu cầu
need	cần
negative	tiêu cực
negative	tiêu cực
neglect	bỏ mặc
negotiate	đàm phán
negotiate	đàm phán
negotiation	đàm phán
neighbor	hàng xóm
neighborhood	khu vực lân cận
neither	cũng không
neither	cũng không
neither	không
nervous	lo lắng
nervous	thần kinh
net	mạng lưới
network	mạng
never	không bao giờ
nevertheless	Tuy nhiên
new	Mới
new	mới
newly	mới
news	Tin tức
newspaper	báo chí
next	kế tiếp
next	kế tiếp
next	tiếp theo
nice	tốt đẹp
nice	đẹp
night	đêm
nine	chín
no	Không
no	Không
no	Không
no	Không
no	không có
nobody	không ai
nod	gật đầu
nod	gật đầu
noise	tiếng ồn
none	không ai
nor	cũng không
normal	bình thường
normal	bình thường
normally	bình thường
north	Bắc
north	phía bắc
northern	Phương bắc
nose	mũi
not	không phải
not	không phải
note	chú thích
note	chú thích
note	chú ý
nothing	không có gì
notice	để ý
notice	nhận thấy
notion	khái niệm
novel	cuốn tiểu thuyết
novel	tiểu thuyết
now	hiện nay
now	hiện nay
nuclear	Nguyên tử
number	con số
numerous	nhiều
numerous	nhiều
nurse	y tá
obey	vâng lời
object	vật
object	vật
objective	mục tiêu
objective	mục tiêu
observation	quan sát
observe	quan sát
observe	quan sát
observer	người quan sát
obtain	đạt được
obtain	được
obvious	hiển nhiên
obvious	rõ ràng
obviously	chắc chắn
obviously	rõ ràng
occasion	dịp
occasionally	thỉnh thoảng
occupy	chiếm
occupy	chiếm
occur	xảy ra
occur	xảy ra
ocean	đại dương
odd	lẻ
odd	lẻ
of	của
off	tắt
off	tắt
offense	xúc phạm
offer	phục vụ
offer	phục vụ
offer	phục vụ
office	văn phòng
officer	nhân viên văn phòng
official	chính thức
official	chính thức
official	chính thức
often	thường xuyên
oh	Oh
oil	dầu
ok	được
ok	ok
okay	đuợc
old	cũ
old	cũ
omit	quên
on	trên
on	trên
once	Một lần
once	Một lần
one	một
one	một
one	một
one	một
onion	củ hành
online	Trực tuyến
only	chỉ có
only	chỉ có
only	chỉ
onto	trên
open	mở
open	mở
open	mở
open	mở
opening	khai mạc
opening	mở
operate	vận hành
operate	chạy
operation	hoạt động
opinion	quan điểm
opponent	phản đối
opportunity	cơ hội
oppose	phản đối
oppose	đối lại
opposite	đối diện
opposite	ngược lại
opposition	Sự đối lập
opt	opt
option	Tùy chọn
or	hoặc là
order	gọi món
order	gọi món
ordinary	bình thường
ordinary	bình thường
organise	tổ chức
organization	cơ quan
organize	tổ chức
organize	tổ chức
origin	gốc
original	nguyên
original	ban đầu
originally	ban đầu
originate	bắt đầu
other	khác
other	khác
other	khác
other	khác
others	Khác
otherwise	nếu không thì
otherwise	khác
ought	nên
our	của chúng ta
ourselves	chúng ta
out	ngoài
out	ngoài
outcome	kết quả
outline	đại cương
outside	ở ngoài
outside	ở ngoài
outside	ở ngoài
outside	bên ngoài
over	kết thúc
over	kết thúc
over	hơn
overall	tổng thể
overall	tổng thể
overcome	vượt qua
overcome	vượt qua
overlook	bỏ qua
owe	nợ
own	sở hữu
own	sở hữu
own	riêng
own	riêng
owner	chủ nhân
pace	tốc độ
pack	đóng gói
pack	đóng gói
pack	gói
package	gói
page	trang
pain	đau đớn
paint	Sơn
paint	Sơn
paint	sơn
painting	bức vẽ
pair	đôi
pan	chảo
panel	bảng điều khiển
pants (PL)	quần (PL)
paper	giấy
parent	cha mẹ
park	công viên
parking	bãi đỗ xe
parking	bãi đậu xe
part	phần
part	phần
part	phần
participant	người tham gia
participate	tham dự
participate	tham dự
participation	sự tham gia
particular	cụ thể
particular	cụ thể
particular	đặc biệt
particularly	đặc biệt
partly	từng phần
partner	cộng sự
partnership	hợp tác
party	buổi tiệc
party	bên
pass	vượt qua
pass	vượt qua
pass	vượt qua
passage	đoạn văn
passenger	hành khách
passion	niềm đam mê
past	quá khứ
past	quá khứ
past	quá khứ
past	qua
path	con đường
patient	bệnh nhân
patient	bệnh nhân
pattern	mẫu
pause	tạm ngừng
pause	tạm ngừng
pay	trả
pay	trả
pay	trả
payment	thanh toán
peace	hòa bình
peak	cao điểm
peer	ngang nhau
peer	ngang nhau
penalty	hình phạt
penetrate	xuyên qua
people	những người
pepper	tiêu
per	mỗi
perceive	nhận thức
perceive	nhận thức
percentage	phần trăm
perception	nhận thức
perfect	hoàn hảo
perfect	hoàn hảo
perfectly	hoàn hảo
perform	biểu diễn
perform	thực hiện
performance	hiệu suất
perhaps	có lẽ
period	giai đoạn
period	thời gian
permanent	dài hạn
permit	cho phép
permit	giấy phép
persist	kiên gan
person	người
personal	cá nhân
personal	cá nhân
personality	nhân cách
personally	cá nhân
personnel	nhân viên
perspective	quan điểm
persuade	khuyên
phase	giai đoạn
phenomenon	hiện tượng
philosophy	triết học
phone	điện thoại
phone	điện thoại
photo	hình chụp
photograph	ảnh chụp
phrase	cụm từ
physical	vật lý
physical	vật lý
physician	bác sĩ
pick	chọn
pick	nhặt
picture	hình ảnh
picture	hình ảnh
piece	cái
pilot	Phi công
pink	hồng
place	địa điểm
place	địa điểm
place	nơi
plan	kế hoạch
plan	kế hoạch
plan	kế hoạch
plane	máy bay
plane	máy bay
planet	hành tinh
planning	lập kế hoạch
plant	thực vật
plant	thực vật
plant	cây
plastic	nhựa
plastic	nhựa
plate	đĩa
platform	nền tảng
play	chơi
play	chơi
play	chơi
player	người chơi
plead	biện hộ
pleasant	vừa ý
please	xin vui lòng
please	xin vui lòng
pleasure	vui lòng
plenty	nhiều
plenty	nhiều
plunge	lao mình xuống
plus	thêm
plus	cộng với
pocket	bỏ túi
poem	bài thơ
point	điểm
point	điểm
point	điểm
pole	cây sào
police	cảnh sát
policy	chính sách
political	chính trị
political	chính trị
politically	chính trị
politician	chính trị gia
politics	chính trị
poll	thăm dò ý kiến
pollution	sự ô nhiễm
pool	bơi
poor	nghèo nàn
poor	người nghèo
pop	nhạc pop
pop	pop
popular	phổ biến
popular	phổ biến
population	dân số
port	Hải cảng
portion	phần
portrait	Chân dung
pose	đặt ra
pose	gây ra
position	Chức vụ
position	vị trí
positive	tích cực
positive	tích cực
possess	sở hữu
possess	có
possibility	khả năng
possible	khả thi
possible	có thể
possibly	có thể
post	bài đăng
pot	nồi
potato	khoai tây
potential	tiềm năng
potential	tiềm năng
potential	tiềm năng
potentially	có khả năng
pound	pao
pour	đổ
pour	đổ vào
poverty	nghèo nàn
power	quyền lực
powerful	quyền lực
powerful	mạnh mẽ
practical	thiết thực
practical	thực tế
practice	thực hành
practice	thực hành
practise	tập luyện
praise	lời khen ngợi
pray	cầu nguyện
pray	cầu nguyện
prayer	cầu nguyện
precede	đứng trước
precisely	đúng
predict	tiên đoán
predict	dự đoán
prefer	thích hơn
prefer	thích
pregnant	có thai
pregnant	mang thai
preparation	chuẩn bị
prepare	chuẩn bị
prepare	chuẩn bị
prescribe	qui định
presence	sự hiện diện
present	hiện tại
present	hiện tại
present	hiện tại
present	hiện nay
present	hiện tại
presentation	trình bày
preserve	giữ gìn
preserve	bảo tồn
president	chủ tịch
presidential	tổng thống
press	nhấn
press	nhấn
press	báo chí
pressure	sức ép
presume	đoán chừng
pretend	giả vờ
pretend	giả vờ
pretend	giả vờ
pretty	đẹp
pretty	đẹp
pretty	khá
prevail	chiếm ưu thế
prevent	ngăn chặn
prevent	phòng ngừa
previous	Trước
previous	trước
previously	trước đây
price	giá bán
pride	tự hào
priest	thầy tu
primarily	chủ yếu
primary	sơ cấp
primary	chính
prime	nguyên tố
principle	nguyên tắc
print	in
print	in
prior	trước
prior	trước
priority	sự ưu tiên
prison	nhà tù
prisoner	Tù nhân
private	riêng tư
private	tin
prize	giải thưởng
probably	có lẽ
problem	vấn đề
procedure	thủ tục
proceed	tiếp tục
proceed	tiến hành
process	quá trình
process	quá trình
process	quá trình
proclaim	công bố
produce	sản xuất
produce	sản xuất
producer	nhà sản xuất
product	sản phẩm
production	sản xuất
profession	chuyên nghiệp
professional	chuyên nghiệp
professional	chuyên nghiệp
professional	chuyên nghiệp
professor	Giáo sư
profile	Hồ sơ
profit	lợi nhuận
program	chương trình
progress	tiến độ
progress	tiến bộ
project	dự án
project	dự án
prominent	nổi bật
promise	lời hứa
promise	lời hứa
promise	hứa
promote	Quảng bá
promote	khuyến khích
prompt	nhanh chóng
pronounce	phát âm
proof	bằng chứng
proof	bằng chứng
proper	phù hợp
proper	thích hợp
properly	đúng
property	bất động sản
proposal	đề nghị
propose	cầu hôn
propose	đề xuất
prosecutor	công tố viên
prospect	khách hàng tiềm năng
protect	bảo vệ
protect	bảo vệ
protection	sự bảo vệ
protein	chất đạm
protest	phản đối
protest	phản đối
proud	tự hào
proud	tự hào
prove	chứng minh
prove	chứng minh
provide	cung cấp
provide	cung cấp
provision	điều khoản
provoke	chọc giận
psychological	tâm lý
psychological	tâm lý
public	công cộng
public	công cộng
public	công cộng
publication	xuất bản
publish	công bố
publish	xuất bản
pull	kéo
pull	kéo
punish	trừng phạt
purchase	mua, tựa vào, bám vào
purchase	mua
pure	nguyên chất
pure	tinh khiết
purple	màu tím
purpose	mục đích
pursue	theo đuổi
pursue	theo đuổi
push	đẩy
push	đẩy
put	đặt
put	đặt
qualify	đủ điều kiện
quality	phẩm chất
quarter	phần tư
question	câu hỏi
question	câu hỏi
question	câu hỏi
quick	nhanh chóng
quick	nhanh chóng
quickly	Mau
quiet	Yên tĩnh
quiet	yên tĩnh
quietly	lặng lẽ
quit	thoái lui
quite	khá
quote	Trích dẫn
quote	quote
race	cuộc đua
race	cuộc đua
race	cuộc đua
racial	chủng tộc
radio	radio
rain	mưa
rain	mưa
raise	nâng cao
raise	nâng cao
range	phạm vi
range	phạm vi
range	khoảng cách
rank	cấp
rapidly	nhanh chóng
rare	hiếm
rare	hiếm
rarely	ít khi
rate	tỷ lệ
rate	tốc độ
rather	hơn
rather	hơn
rather	hơn
rating	Xêp hạng
raw	thô
raw	liệu
reach	chạm tới
reach	đến
react	phản ứng
react	phản ứng
reaction	phản ứng
read	đọc
read	đọc
reader	người đọc
reading	đọc hiểu
ready	sẳn sàng
ready	sẵn sàng
real	thực
real	thực
realise	thực hiện
realistic	thực tế
reality	thực tế
realize	nhận ra
realize	thực hiện
really	có thật không
reason	lý do
reasonable	hợp lý
reasonable	hợp lý
reassure	trấn an
rebuild	xây dựng lại
recall	hồi tưởng
recall	triệu hồi
receive	nhận được
receive	nhận
recent	gần đây
recent	gần đây
recently	gần đây
recipe	công thức
reckon	tính
recognise	công nhận
recognition	sự công nhận
recognize	nhìn nhận
recognize	công nhận
recommend	giới thiệu
recommend	giới thiệu
recommendation	sự giới thiệu
record	ghi lại
record	ghi lại
record	kỷ lục
recover	bình phục
recover	lấy lại
recovery	phục hồi
recruit	tuyển mộ
red	đỏ
red	màu đỏ
reduce	giảm
reduce	giảm
reduction	giảm
refer	tham khảo
refer	tham khảo
reference	tài liệu tham khảo
reflect	phản chiếu
reflect	suy nghĩ
reflection	sự phản chiếu
reform	cải cách
refugee	người tị nạn
refuse	từ chối
refuse	từ chối
regain	lấy lại
regard	quan tâm
regard	Về vấn đề
regarding	về
regardless	bất kể
regime	chế độ
region	khu vực
regional	khu vực
register	đăng ký
regret	hối tiếc
regular	đều đặn
regular	thường xuyên
regularly	thường xuyên
regulate	chỉnh đốn
regulation	Quy định
reinforce	củng cố
reject	Từ chối
reject	từ chối
relate	liên hệ
relate	quan hệ
relation	quan hệ
relationship	mối quan hệ
relative	quan hệ
relative	tương đối
relatively	tương đối
relax	thư giãn
relax	thư giãn
release	giải phóng
release	giải phóng
release	phóng thích
relevant	liên quan, thích hợp
relevant	có liên quan
relief	cứu trợ
relieve	giảm
religion	tôn giáo
religious	Tôn giáo
rely	dựa
rely	tin cậy
remain	vẫn còn
remain	còn lại
remaining	còn lại
remark	chú ý
remarkable	đáng chú ý
remarkable	đáng chú ý
remember	nhớ lại
remember	nhớ lại
remind	nhắc lại
remind	nhắc lại
remote	xa
remote	từ xa
remove	tẩy
remove	tẩy
render	trả lại
renew	đổi mới
rent	thuê
repair	sửa
repeat	nói lại
repeat	lặp lại
replace	thay thế
replace	thay thế
reply	Đáp lại
reply	đáp lại
report	bài báo cáo
report	bài báo cáo
report	báo cáo
reporter	phóng viên
represent	đại diện
represent	đại diện
representation	đại diện
representative	Tiêu biểu
representative	đại diện
reproduce	sao lại
reputation	uy tín
request	yêu cầu
request	yêu cầu
require	yêu cầu
require	yêu cầu
requirement	yêu cầu
rescue	giải thoát
research	nghiên cứu
research	nghiên cứu
researcher	nghiên cứu viên
resemble	giống nhau
reserve	dự trữ
resident	cư dân
resident	cư dân
resign	từ bỏ
resist	kháng cự
resist	chống cự
resistance	sức đề kháng
resolution	độ phân giải
resolve	giải quyết
resolve	giải quyết
resort	phương sách
resource	tài nguyên
respect	sự tôn trọng
respect	sự tôn trọng
respect	tôn trọng
respond	trả lời
respond	trả lời
respondent	người trả lời
response	phản ứng
responsibility	trách nhiệm
responsible	chịu trách nhiệm
responsible	chịu trách nhiệm
rest	nghỉ ngơi
rest	nghỉ ngơi
rest	còn lại
restaurant	nhà hàng
restore	phục hồi
restore	khôi phục
restrict	hạn chế
result	kết quả
result	kết quả
result	kết quả
resume	sơ yếu lý lịch
retain	giữ lại
retain	giữ lại
retire	về hưu
retire	về hưu
retirement	nghỉ hưu
return	trở về
return	trở về
return	trở về
reveal	tiết lộ
reveal	tiết lộ
revenue	thu nhập
reverse	đảo ngược
review	ôn tập
review	ôn tập
review	xem lại
revise	xem lại
revive	sống lại
revolution	Cuộc cách mạng
reward	tưởng thưởng
rice	cơm
rich	giàu có
rich	giàu
rid	rid
ride	dap xe
ride	dap xe
ride	đi chơi
right	đúng
right	đúng
right	đúng
right	đúng
ring	nhẫn
ring	nhẫn
ring	vòng
rip	đường rách
rise	tăng lên
rise	tăng lên
rise	tăng lên
risk	rủi ro
risk	nguy cơ
river	con sông
road	đường
rock	đá
role	vai trò
roll	cuộn
roll	cuộn
roll	cuộn
roof	mái nhà
room	phòng
root	nguồn gốc
rough	thô
rough	thô
roughly	gần
round	tròn
round	vòng
round	tròn
route	lộ trình
routine	công Việt Hằng ngày
routine	thường xuyên
row	hàng
royal	hoàng gia
rub	chà xát
rub	chà
rule	qui định
rule	qui định
rule	nguyên tắc
run	chạy
run	chạy
run	chạy
rural	nông thôn
rush	vội vã
sack	bao
sad	buồn
sad	buồn
safe	an toàn
safe	an toàn
safety	an toàn
sail	đi thuyền
salad	rau xà lách
salary	lương
sale	buôn bán
sales	bán hàng
salt	Muối
salt	muối
same	tương tự
same	cùng
sample	mẫu vật
sand	cát
satellite	vệ tinh
satisfaction	sự thỏa mãn
satisfy	làm vui lòng
sauce	Nước xốt
save	tiết kiệm
save	tiết kiệm
saving (PL)	tiết kiệm (PL)
savings	tiết kiệm
say	Nói
say	nói
scale	tỉ lệ
scan	quét
scared	sợ hãi
scatter	chạy tán loạn
scenario	kịch bản
scene	bối cảnh
schedule	kế hoạch
schedule	kế hoạch
schedule	lịch trình
scholar	học giả
school	trường học
science	khoa học
scientific	thuộc về khoa học
scientist	nhà khoa học
score	ghi bàn
score	ghi bàn
score	số điểm
scratch	vết trầy
scream	hét lên
scream	hét lên
screen	màn
sea	biển
sea	biển
search	Tìm kiếm
search	Tìm kiếm
search	tìm kiếm
season	Mùa
seat	ghế
second	thứ hai
second	thứ hai
secret	bí mật
secret	bí mật
secret	bí mật
secretary	Thư ký
section	phần
sector	ngành
secure	đảm bảo
secure	đảm bảo
secure	chắc chắn
security	Bảo vệ
see	xem
see	thấy
seed	giống
seek	tìm kiếm
seek	tìm kiếm
seem	hình như
seem	hình như
seize	chiếm
select	lựa chọn
select	chọn
select	lựa chọn
selection	lựa chọn
self	tự
sell	bán
sell	bán
senator	thượng nghị sĩ
send	gửi
send	gởi
senior	cao cấp
senior	cao cấp
sense	giác quan
sense	ý nghĩa
sensitive	nhạy cảm
sensitive	nhạy cảm
sentence	kết án
sentence	câu văn
separate	tách rời
separate	tách rời
separate	riêng
separate	riêng biệt
series	loạt
serious	nghiêm trọng
serious	nghiêm trọng
seriously	nghiêm túc
serve	phục vụ
serve	phục vụ
service	dịch vụ
session	phiên họp
set	bộ
set	bộ
setting	cài đặt
settle	ổn định
settle	giải quyết
settlement	giải quyết
seven	bảy
several	một số
several	nhiều
severe	nghiêm trọng
severe	nghiêm trọng
sex	tình dục
sexual	tình dục
sexual	tình dục
shadow	bóng
shake	lắc
shake	rung chuyển
shall	sẽ
shape	hình dạng
shape	hình dạng
share	chia sẻ
